S.No.,Device,Contact Count,English,,,Device,Contact Count,Coil Count,English
167,X0A6,2,SHTL-1 SAFE FROM CUTTING- PMAC,,,Y185,1,1,OBLIQUE X-AXIS SELECTYD TO PMAC
168,X0A7,1,SHUTTLE#4 AT DRILLING -PMAC,,,Y186,1,1,OBLIQUE Y-AXIS SELECTYD TO PMAC
169,X0A8,6,MACHINE PROGRAM RUNNING FOR GGM,,,Y187,1,,SHUTTLE#4 GOTO CENTERING-PMAC-1
170,X0A9,12,MACHINE AT LOADING POINT 4 GGM,,,Y188,1,,SHUTTLE#4 GOTO DRILLING -PMAC-1
171,X0AA,8,MACHING GOING TO LOADING 4 GGM,,,Y189,2,1,GRINDING  VACUUM BYPASS
172,X0AB,3,PMAC DOWNLOADING FOR GGM,,,Y18A,2,1,SHTL1 MOV AFTR 2 GLS REL-M2026
173,X0AC,5,U-AXIS FAULT FOR GGM-PMAC0,,,Y18B,2,1,CUTTING MACHINE AUTO MODE-PMAC
174,X0AD,5,U-AXIS ON LIMIT GGM-PMAC0,,,Y18C,3,1,CUTTING MACHINE MANUAL MODE-PMAC
175,X0AE,5,C-AXIS FAULT FOR GGM-PMAC0,,,Y18D,11,1,CUTTING MACHINE AUTO START-PMAC
176,X0AF,6,SPINDLE FAULT FOR GGM-PMAC0,,,Y18E,1,1,CUTTING M/C CUTTER SAFETY-PMAC
177,X0B0,4,UNUSE OLD VACUUM S/W FOR GGM,,,Y18F,1,1,TEST FOR CUTTING SOL. TO PMAC
178,X0B1,2,GRINDING LUB OIL LEVEL LOW,,,Y1B0,,1,PLC READY
179,X0B2,2,GRINDING LUB OIL PRESSURE LOW,,,Y1B1,,1,All axis servo ON
180,X0B3,1,SPARE,,,,,,
181,X0B4,2,DRILLING C-AXIS FAULT SIGNAL,,,,,,
182,X0B5,1,DRILLING C-AXIS BUSY SIGNAL,,,,,,
183,X0B6,2,DRILLING Z1 FAULT SIGNAL,,,,,,
184,X0B7,1,DRILLING Z1 IN POSITION SIGNAL,,,,,,
185,X0B8,2,DRILLING Z2 FAULT SIGNAL,,,,,,
186,X0B9,1,DRILLING Z2 IN POSITION SIGNAL,,,,,,
187,X0BA,2,DRILLING U-AXIS FAULT SIGNAL,,,,,,
188,X0BB,1,DRILLING U-AXIS INPOSTIN SIGNAL,,,,,,
189,X0BC,1,SHUTTLE#3 FAULT SIGNAL,,,,,,
190,X0BD,1,SHUTTLE#3 READY SIGNAL,,,,,,
191,X0BE,1,SHUTTLE#3 INPOSITION SIGNAL,,,,,,
192,X0BF,1,DRILLING C-AXIS THERMAL CONTACT,,,,,,
193,X0C0,3,DRILL CENT READY->CNC8,,,,,,
